sample	depth	pc_genome	combination	density
TC2-10000	60	0.614232	TC2	10000
TC2-10	60	0.016044	TC2	10
TC2-1000	60	0.476546	TC2	1000
TC5-100	60	0.216455	TC5	100
TC5-10000	60	0.604837	TC5	10000
TC5-10	60	0.109372	TC5	10
TC5-1000	60	0.43040900000000004	TC5	1000
7C1-100	70	0.071903	7C1	100
7C1-10000	70	0.546814	7C1	10000
7C1-10	70	4.1e-05	7C1	10
7C1-1000	70	0.453797	7C1	1000
DC3-100	70	0.096194	DC3	100
DC3-10000	70	0.592097	DC3	10000
DC3-10	70	0.098974	DC3	10
DC3-1000	70	0.367277	DC3	1000
DC4-100	70	0.286519	DC4	100
DC4-10000	70	0.611471	DC4	10000
DC4-10	70	0.079222	DC4	10
DC4-1000	70	0.396019	DC4	1000
DC5-100	70	0.188304	DC5	100
DC5-10000	70	0.560883	DC5	10000
DC5-10	70	0.039796	DC5	10
DC5-1000	70	0.300218	DC5	1000
QC1-100	70	0.234737	QC1	100
QC1-10000	70	0.475492	QC1	10000
QC1-10	70	0.000166	QC1	10
QC1-1000	70	0.38363400000000003	QC1	1000
QC2-100	70	0.265854	QC2	100
QC2-10000	70	0.597386	QC2	10000
QC2-10	70	3.3e-05	QC2	10
QC2-1000	70	0.46208	QC2	1000
TC1-100	70	0.22478499999999998	TC1	100
TC1-10000	70	0.568384	TC1	10000
TC1-10	70	0.11316199999999998	TC1	10
TC1-1000	70	0.406122	TC1	1000
TC2-100	70	0.297056	TC2	100
TC2-10000	70	0.5687260000000001	TC2	10000
TC2-10	70	0.013715999999999999	TC2	10
TC2-1000	70	0.437378	TC2	1000
TC5-100	70	0.193481	TC5	100
TC5-10000	70	0.560355	TC5	10000
TC5-10	70	0.09853300000000001	TC5	10
TC5-1000	70	0.384791	TC5	1000
7C1-100	80	0.063332	7C1	100
7C1-10000	80	0.504051	7C1	10000
7C1-10	80	3.3e-05	7C1	10
7C1-1000	80	0.41600699999999996	7C1	1000
DC3-100	80	0.084124	DC3	100
DC3-10000	80	0.551424	DC3	10000
DC3-10	80	0.090834	DC3	10
DC3-1000	80	0.331397	DC3	1000
DC4-100	80	0.261934	DC4	100
DC4-10000	80	0.571771	DC4	10000
DC4-10	80	0.073425	DC4	10
DC4-1000	80	0.36041799999999996	DC4	1000
DC5-100	80	0.16806400000000002	DC5	100
DC5-10000	80	0.516667	DC5	10000
DC5-10	80	0.036129	DC5	10
DC5-1000	80	0.271311	DC5	1000
QC1-100	80	0.21507300000000001	QC1	100
QC1-10000	80	0.433604	QC1	10000
QC1-10	80	0.000154	QC1	10
QC1-1000	80	0.348507	QC1	1000
QC2-100	80	0.244234	QC2	100
QC2-10000	80	0.555895	QC2	10000
QC2-10	80	3.2e-05	QC2	10
QC2-1000	80	0.42278000000000004	QC2	1000
TC1-100	80	0.206744	TC1	100
TC1-10000	80	0.526529	TC1	10000
TC1-10	80	0.104645	TC1	10
TC1-1000	80	0.371052	TC1	1000
TC2-100	80	0.275001	TC2	100
TC2-10000	80	0.527532	TC2	10000
TC2-10	80	0.011935	TC2	10
TC2-1000	80	0.40331300000000003	TC2	1000
TC5-100	80	0.174738	TC5	100
TC5-10000	80	0.520816	TC5	10000
TC5-10	80	0.089753	TC5	10
TC5-1000	80	0.346555	TC5	1000
7C1-100	90	0.056597	7C1	100
7C1-10000	90	0.465653	7C1	10000
7C1-10	90	2.9999999999999997e-05	7C1	10
7C1-1000	90	0.383267	7C1	1000
DC3-100	90	0.074273	DC3	100
DC3-10000	90	0.514441	DC3	10000
DC3-10	90	0.084016	DC3	10
